,timestamp,action_type,item_id,cursor_time,source,user_answer,platform
0,1551423594981,enter,b4029,,diagnosis,,mobile
1,1551423626437,respond,q5497,,diagnosis,b,mobile
2,1551423631887,submit,b4029,,diagnosis,,mobile
3,1551423631939,enter,b4690,,diagnosis,,mobile
4,1551423664900,respond,q6158,,diagnosis,d,mobile
5,1551423669585,submit,b4690,,diagnosis,,mobile
6,1551423669635,enter,b1315,,diagnosis,,mobile
7,1551423670220,play_audio,b1315,0.0,diagnosis,,mobile
8,1551423688260,pause_audio,b1315,18422.0,diagnosis,,mobile
9,1551423688308,respond,q1315,,diagnosis,b,mobile
10,1551423692063,submit,b1315,,diagnosis,,mobile
11,1551423692116,enter,b213,,diagnosis,,mobile
12,1551423692617,play_audio,b213,0.0,diagnosis,,mobile
13,1551423709645,pause_audio,b213,17430.0,diagnosis,,mobile
14,1551423710000,respond,q213,,diagnosis,a,mobile
15,1551423714120,submit,b213,,diagnosis,,mobile
16,1551423714181,enter,b368,,diagnosis,,mobile
17,1551423714655,play_audio,b368,0.0,diagnosis,,mobile
18,1551423730395,pause_audio,b368,16146.0,diagnosis,,mobile
19,1551423730848,respond,q368,,diagnosis,a,mobile
20,1551423734621,submit,b368,,diagnosis,,mobile
21,1551423734678,enter,b4278,,diagnosis,,mobile
22,1551423786829,respond,q5746,,diagnosis,c,mobile
23,1551423791815,submit,b4278,,diagnosis,,mobile
24,1551423791876,enter,b381,,diagnosis,,mobile
25,1551423792349,play_audio,b381,0.0,diagnosis,,mobile
26,1551423809970,respond,q381,,diagnosis,a,mobile
27,1551423810015,pause_audio,b381,18103.0,diagnosis,,mobile
28,1551423815403,submit,b381,,diagnosis,,mobile
29,1551762562139,enter,b3163,,sprint,,mobile
30,1551762609479,respond,q4631,,sprint,b,mobile
31,1551762615096,submit,b3163,,sprint,,mobile
32,1551762615121,enter,e3163,,sprint,,mobile
33,1551762642839,quit,e3163,,sprint,,mobile
34,1551762642895,enter,b3582,,sprint,,mobile
35,1551762720547,respond,q5050,,sprint,c,mobile
36,1551762724072,submit,b3582,,sprint,,mobile
37,1551762724117,enter,e3582,,sprint,,mobile
38,1551762785442,quit,e3582,,sprint,,mobile
39,1551762785489,enter,b4719,,sprint,,mobile
40,1551762859635,respond,q6187,,sprint,b,mobile
41,1551762864306,submit,b4719,,sprint,,mobile
42,1551762864344,enter,e4719,,sprint,,mobile
43,1551762890958,quit,e4719,,sprint,,mobile
44,1551762890996,enter,b6780,,sprint,,mobile
45,1551762951977,erase_choice,q9429,,sprint,a,mobile
46,1551762956601,erase_choice,q9429,,sprint,b,mobile
47,1551762959332,erase_choice,q9429,,sprint,d,mobile
48,1551762960078,respond,q9429,,sprint,a,mobile
49,1551762963541,submit,b6780,,sprint,,mobile
50,1551762963582,enter,e6780,,sprint,,mobile
51,1551762996707,quit,e6780,,sprint,,mobile
52,1551763055751,enter,b2460,,sprint,,mobile
53,1551763107677,erase_choice,q3928,,sprint,a,mobile
54,1551763109894,erase_choice,q3928,,sprint,d,mobile
55,1551763127703,respond,q3928,,sprint,b,mobile
56,1551763131031,submit,b2460,,sprint,,mobile
57,1551763131070,enter,e2460,,sprint,,mobile
58,1551763135891,quit,e2460,,sprint,,mobile
59,1551763415376,enter,b4853,,sprint,,mobile
60,1551763433629,erase_choice,q6321,,sprint,d,mobile
61,1551763437313,erase_choice,q6321,,sprint,c,mobile
62,1551763484977,erase_choice,q6321,,sprint,b,mobile
63,1551763492524,respond,q6321,,sprint,d,mobile
64,1551763493524,erase_choice,q6321,,sprint,c,mobile
65,1551763494240,erase_choice,q6321,,sprint,b,mobile
66,1551763494759,erase_choice,q6321,,sprint,a,mobile
67,1551763498572,submit,b4853,,sprint,,mobile
68,1551763498616,enter,e4853,,sprint,,mobile
69,1551763547567,quit,e4853,,sprint,,mobile
70,1551763556690,enter,b3819,,sprint,,mobile
71,1551763614333,erase_choice,q5287,,sprint,b,mobile
72,1551763620224,erase_choice,q5287,,sprint,c,mobile
73,1551763651987,erase_choice,q5287,,sprint,a,mobile
74,1551763655817,submit,b3819,,sprint,,mobile
75,1551763655857,enter,e3819,,sprint,,mobile
76,1551763659175,quit,e3819,,sprint,,mobile
77,1551763717271,enter,b7166,,sprint,,mobile
78,1551763732589,erase_choice,q9815,,sprint,d,mobile
79,1551763736673,erase_choice,q9815,,sprint,b,mobile
80,1551763763748,erase_choice,q9815,,sprint,a,mobile
81,1551763765880,respond,q9815,,sprint,a,mobile
82,1551763767537,erase_choice,q9815,,sprint,c,mobile
83,1551763770173,submit,b7166,,sprint,,mobile
84,1551763770217,enter,e7166,,sprint,,mobile
85,1551763793622,quit,e7166,,sprint,,mobile
86,1551763793672,enter,b2865,,sprint,,mobile
87,1551763823734,erase_choice,q4333,,sprint,a,mobile
88,1551763826491,erase_choice,q4333,,sprint,d,mobile
89,1551763827593,erase_choice,q4333,,sprint,c,mobile
90,1551763835324,submit,b2865,,sprint,,mobile
91,1551763835342,enter,e2865,,sprint,,mobile
92,1551763847838,quit,e2865,,sprint,,mobile
93,1551763847884,enter,b4318,,sprint,,mobile
94,1551763881678,erase_choice,q5786,,sprint,a,mobile
95,1551763904433,erase_choice,q5786,,sprint,b,mobile
96,1551763917782,respond,q5786,,sprint,d,mobile
97,1551763922096,submit,b4318,,sprint,,mobile
98,1551763922138,enter,e4318,,sprint,,mobile
99,1551764099299,quit,e4318,,sprint,,mobile
100,1551764140985,enter,b1317,,sprint,,mobile
101,1551764141614,play_audio,b1317,0.0,sprint,,mobile
