Course,Interactions,Users,DegreeCourse,Year
 _fisica_1,126770,931,IEL,1
 _geometria_e_algebra,118559,918,IEL,1
 _statistica,54962,807,EGA,1
 _privato,21866,714,EGA,1
 _fisica_2,57066,683,IEL,1
 _diritto_privato_9_cfu,59518,662,AEO,1
 _inglese__esame_,16490,643,EGA,2
 _elettrotecnica,56772,593,IEL,2
 _antropologia_culturale,53959,581,BECS,1
 _programmazione_e_controllo,24311,489,EGA,2
 _letteratura_italiana,36896,486,BECS,1
 _microeconomia,19762,473,EGA,1
 _statistica_sociale,39177,458,AEO,2
 _calcolatori_elettronici,66181,458,IEL,1
 _elementi_di_informatica,36989,426,IEL,1
 _logica,85934,391,COM,1
 _imprese,16264,360,EGA,2
 _economia_politica_9_cfu,12767,350,AEO,1
 _diritto_dell_unione_europea,7609,330,AEO,2
 _storia_moderna_1,39839,325,BECS,1
 _economia_aziendale,33671,317,EGA,1
 _lingua_inglese_1,19993,281,AEO,1
 _chimica,16433,264,IEL,1
 _diritto_del_lavoro,9403,262,EGA,3
 _analisi_dei_sistemi,37234,223,IEL,2
 _elettronica,14298,209,IEL,2
 _matematica_1,17438,198,IEL,1
 _diritto_amministrativo_9_cfu,21142,198,AEO,2
 _controlli_automatici,14349,196,IEL,2
 _bancaria,5234,186,EGA,3
 _arte_moderna_1,9081,166,BECS,1
 _matematica_generale,28436,159,EGA,1
 _diritto_pubblico_9_cfu,17043,149,AEO,1
 _misure,9968,149,IEL,2
 _arte_contemporanea_1,10407,129,BECS,2
 _linguaggio_giornalistico,5449,123,BECS,1
 _sistemi_giuridici_comparati,9766,121,AEO,2
 _museologia,11496,111,BECS,1
 _storia_economica,5496,106,EGA,1
 _etnomusicologia,8362,103,BECS,2
